LinksNoQuotes,Country,Region,State,Date,Type_Subset,FileType
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/data/calendar.csv.gz,australia,nsw,northern-rivers,42462,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/data/listings.csv.gz,australia,nsw,northern-rivers,42462,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/data/reviews.csv.gz,australia,nsw,northern-rivers,42462,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/visualisations/listings.csv,australia,nsw,northern-rivers,42462,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/visualisations/neighbourhoods.csv,australia,nsw,northern-rivers,42462,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/visualisations/neighbourhoods.geojson,australia,nsw,northern-rivers,42462,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/northern-rivers/2016-04-02/visualisations/reviews.csv,australia,nsw,northern-rivers,42462,visualisations,reviews.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/data/calendar.csv.gz,australia,nsw,sydney,42134,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/data/listings.csv.gz,australia,nsw,sydney,42134,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/data/reviews.csv.gz,australia,nsw,sydney,42134,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/visualisations/listings.csv,australia,nsw,sydney,42134,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/visualisations/neighbourhoods.csv,australia,nsw,sydney,42134,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/visualisations/neighbourhoods.geojson,australia,nsw,sydney,42134,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/sydney/2015-05-10/visualisations/reviews.csv,australia,nsw,sydney,42134,visualisations,reviews.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/data/calendar.csv.gz,australia,nsw,sydney,42250,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/data/listings.csv.gz,australia,nsw,sydney,42250,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/data/reviews.csv.gz,australia,nsw,sydney,42250,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/visualisations/listings.csv,australia,nsw,sydney,42250,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/visualisations/neighbourhoods.csv,australia,nsw,sydney,42250,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/visualisations/neighbourhoods.geojson,australia,nsw,sydney,42250,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/sydney/2015-09-03/visualisations/reviews.csv,australia,nsw,sydney,42250,visualisations,reviews.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/data/calendar.csv.gz,australia,nsw,sydney,42279,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/data/listings.csv.gz,australia,nsw,sydney,42279,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/data/reviews.csv.gz,australia,nsw,sydney,42279,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/visualisations/listings.csv,australia,nsw,sydney,42279,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/visualisations/neighbourhoods.csv,australia,nsw,sydney,42279,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/visualisations/neighbourhoods.geojson,australia,nsw,sydney,42279,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/sydney/2015-10-02/visualisations/reviews.csv,australia,nsw,sydney,42279,visualisations,reviews.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/data/calendar.csv.gz,australia,nsw,sydney,42341,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/data/listings.csv.gz,australia,nsw,sydney,42341,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/data/reviews.csv.gz,australia,nsw,sydney,42341,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/visualisations/listings.csv,australia,nsw,sydney,42341,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/visualisations/neighbourhoods.csv,australia,nsw,sydney,42341,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/visualisations/neighbourhoods.geojson,australia,nsw,sydney,42341,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/sydney/2015-12-03/visualisations/reviews.csv,australia,nsw,sydney,42341,visualisations,reviews.csv
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/data/calendar.csv.gz,australia,nsw,sydney,42372,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/data/listings.csv.gz,australia,nsw,sydney,42372,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/data/reviews.csv.gz,australia,nsw,sydney,42372,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/visualisations/listings.csv,australia,nsw,sydney,42372,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/visualisations/neighbourhoods.csv,australia,nsw,sydney,42372,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/visualisations/neighbourhoods.geojson,australia,nsw,sydney,42372,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/sydney/2016-01-03/visualisations/reviews.csv,australia,nsw,sydney,42372,visualisations,reviews.csv
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/data/calendar.csv.gz,australia,nsw,sydney,42708,data,calendar.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/data/listings.csv.gz,australia,nsw,sydney,42708,data,listings.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/data/reviews.csv.gz,australia,nsw,sydney,42708,data,reviews.csv.gz
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/visualisations/listings.csv,australia,nsw,sydney,42708,visualisations,listings.csv
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/visualisations/neighbourhoods.csv,australia,nsw,sydney,42708,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/visualisations/neighbourhoods.geojson,australia,nsw,sydney,42708,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/nsw/sydney/2016-12-04/visualisations/reviews.csv,australia,nsw,sydney,42708,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/data/calendar.csv.gz,australia,vic,melbourne,42203,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/data/listings.csv.gz,australia,vic,melbourne,42203,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/data/reviews.csv.gz,australia,vic,melbourne,42203,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/visualisations/listings.csv,australia,vic,melbourne,42203,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/visualisations/neighbourhoods.csv,australia,vic,melbourne,42203,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42203,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2015-07-18/visualisations/reviews.csv,australia,vic,melbourne,42203,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/data/calendar.csv.gz,australia,vic,melbourne,42250,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/data/listings.csv.gz,australia,vic,melbourne,42250,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/data/reviews.csv.gz,australia,vic,melbourne,42250,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/visualisations/listings.csv,australia,vic,melbourne,42250,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/visualisations/neighbourhoods.csv,australia,vic,melbourne,42250,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42250,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2015-09-03/visualisations/reviews.csv,australia,vic,melbourne,42250,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/data/calendar.csv.gz,australia,vic,melbourne,42279,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/data/listings.csv.gz,australia,vic,melbourne,42279,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/data/reviews.csv.gz,australia,vic,melbourne,42279,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/visualisations/listings.csv,australia,vic,melbourne,42279,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/visualisations/neighbourhoods.csv,australia,vic,melbourne,42279,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42279,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2015-10-02/visualisations/reviews.csv,australia,vic,melbourne,42279,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/data/calendar.csv.gz,australia,vic,melbourne,42341,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/data/listings.csv.gz,australia,vic,melbourne,42341,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/data/reviews.csv.gz,australia,vic,melbourne,42341,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/listings.csv,australia,vic,melbourne,42341,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/neighbourhoods.csv,australia,vic,melbourne,42341,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42341,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2015-12-03/visualisations/reviews.csv,australia,vic,melbourne,42341,visualisations,reviews.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/data/calendar.csv.gz,australia,vic,melbourne,42372,data,calendar.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/data/listings.csv.gz,australia,vic,melbourne,42372,data,listings.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/data/reviews.csv.gz,australia,vic,melbourne,42372,data,reviews.csv.gz
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/listings.csv,australia,vic,melbourne,42372,visualisations,listings.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/neighbourhoods.csv,australia,vic,melbourne,42372,visualisations,neighbourhoods.csv
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/neighbourhoods.geojson,australia,vic,melbourne,42372,visualisations,neighbourhoods.geojson
http://data.insideairbnb.com/australia/vic/melbourne/2016-01-03/visualisations/reviews.csv,australia,vic,melbourne,42372,visualisations,reviews.csv
