2016-09-30,2016,09,30,LAX,	0.32567263,$151.5848
2016-08-30,2016,08,30,LAX,	0.4103088,$149.43582
2016-09-20,2016,09,20,LAX,	0.34111375,$147.62944
2016-07-30,2016,07,30,LAX,	0.5043083,$149.50658
2016-08-20,2016,08,20,LAX,	0.512375,$151.07019
2016-08-31,2016,08,31,LAX,	0.400558,$148.95789
2016-09-10,2016,09,10,LAX,	0.37528312,$153.39175
2016-09-21,2016,09,21,LAX,	0.34089276,$147.48941
2016-06-30,2016,06,30,LAX,	0.36604774,$146.79785
2016-07-20,2016,07,20,LAX,	0.5163056,$144.40497
2016-07-31,2016,07,31,LAX,	0.48162997,$144.55951
2016-08-10,2016,08,10,LAX,	0.5643611,$144.68068
2016-08-21,2016,08,21,LAX,	0.47815037,$147.26085
2016-09-11,2016,09,11,LAX,	0.3648141,$148.0822
2016-09-22,2016,09,22,LAX,	0.34293684,$147.24992
2016-05-30,2016,05,30,LAX,	0.39931792,$145.45628
2016-06-20,2016,06,20,LAX,	0.35657445,$147.25577
2016-07-10,2016,07,10,LAX,	0.54003114,$146.8314
2016-07-21,2016,07,21,LAX,	0.52575994,$143.37202
2016-08-11,2016,08,11,LAX,	0.56869787,$143.99078
2016-08-22,2016,08,22,LAX,	0.4616872,$146.83719
2016-09-01,2016,09,01,LAX,	0.40019888,$148.57161
2016-09-12,2016,09,12,LAX,	0.35846087,$148.17456
2016-09-23,2016,09,23,LAX,	0.34462184,$152.52136
2016-04-30,2016,04,30,LAX,	0.25576305,$149.73018
2016-05-20,2016,05,20,LAX,	0.45517242,$150.36813
2016-05-31,2016,05,31,LAX,	0.37923455,$144.66957
2016-06-10,2016,06,10,LAX,	0.39965895,$151.63057
2016-06-21,2016,06,21,LAX,	0.3569913,$147.41664
2016-07-11,2016,07,11,LAX,	0.5308162,$145.972
2016-07-22,2016,07,22,LAX,	0.5341072,$147.3347
2016-08-01,2016,08,01,LAX,	0.46547392,$144.58546
2016-08-12,2016,08,12,LAX,	0.5762113,$149.47784
2016-08-23,2016,08,23,LAX,	0.4537042,$147.34358
2016-09-02,2016,09,02,LAX,	0.4088172,$153.75096
2016-09-13,2016,09,13,LAX,	0.3558367,$148.08653
2016-09-24,2016,09,24,LAX,	0.3427711,$152.48001
2016-03-30,2016,03,30,LAX,	0.24034627,$141.01825
2016-04-20,2016,04,20,LAX,	0.26262036,$142.36723
2016-05-10,2016,05,10,LAX,	0.45820385,$144.43677
2016-05-21,2016,05,21,LAX,	0.4540356,$150.11813
2016-06-11,2016,06,11,LAX,	0.40348616,$151.574
2016-06-22,2016,06,22,LAX,	0.35839334,$147.21126
2016-07-01,2016,07,01,LAX,	0.37658203,$152.39516
2016-07-12,2016,07,12,LAX,	0.5307863,$145.26424
2016-07-23,2016,07,23,LAX,	0.5308461,$147.29066
