2016-09-30,2016,09,30,NAS,	0.6164451,$197.42812
2016-08-30,2016,08,30,NAS,	0.21658768,$202.76709
2016-09-20,2016,09,20,NAS,	0.42959133,$192.47475
2016-07-30,2016,07,30,NAS,	0.31469193,$211.35962
2016-08-20,2016,08,20,NAS,	0.21658768,$225.04175
2016-08-31,2016,08,31,NAS,	0.21563981,$203.0846
2016-09-10,2016,09,10,NAS,	0.6393402,$215.43823
2016-09-21,2016,09,21,NAS,	0.47464302,$194.75305
2016-06-30,2016,06,30,NAS,	0.25165877,$212.44205
2016-07-20,2016,07,20,NAS,	0.2407583,$205.76529
2016-07-31,2016,07,31,NAS,	0.2507109,$207.33966
2016-08-10,2016,08,10,NAS,	0.22322275,$203.78706
2016-08-21,2016,08,21,NAS,	0.21611375,$206.46857
2016-09-11,2016,09,11,NAS,	0.49753815,$201.99413
2016-09-22,2016,09,22,NAS,	0.58296406,$198.66116
2016-05-30,2016,05,30,NAS,	0.28151658,$203.42744
2016-06-20,2016,06,20,NAS,	0.27014217,$204.57597
2016-07-10,2016,07,10,NAS,	0.2421801,$210.90369
2016-07-21,2016,07,21,NAS,	0.23933649,$207.33272
2016-08-11,2016,08,11,NAS,	0.22227488,$205.51189
2016-08-22,2016,08,22,NAS,	0.21800947,$204.26848
2016-09-01,2016,09,01,NAS,	0.21706161,$204.55327
2016-09-12,2016,09,12,NAS,	0.4160512,$188.99283
2016-09-23,2016,09,23,NAS,	0.6974397,$215.14401
2016-04-30,2016,04,30,NAS,	0.292891,$227.68968
2016-05-20,2016,05,20,NAS,	0.28578198,$225.51758
2016-05-31,2016,05,31,NAS,	0.27677724,$200.53801
2016-06-10,2016,06,10,NAS,	0.39478672,$228.20517
2016-06-21,2016,06,21,NAS,	0.2691943,$203.50908
2016-07-11,2016,07,11,NAS,	0.24265403,$206.301
2016-07-22,2016,07,22,NAS,	0.23838863,$228.4499
2016-08-01,2016,08,01,NAS,	0.23270142,$205.09512
2016-08-12,2016,08,12,NAS,	0.22085308,$225.15816
2016-08-23,2016,08,23,NAS,	0.21658768,$203.0496
2016-09-02,2016,09,02,NAS,	0.21611375,$224.35732
2016-09-13,2016,09,13,NAS,	0.40965042,$186.26689
2016-09-24,2016,09,24,NAS,	0.69916296,$217.1252
2016-03-30,2016,03,30,NAS,	0.28957346,$197.83589
2016-04-20,2016,04,20,NAS,	0.2843602,$198.37749
2016-05-10,2016,05,10,NAS,	0.28767774,$202.23952
2016-05-21,2016,05,21,NAS,	0.28483412,$226.17097
2016-06-11,2016,06,11,NAS,	0.39383885,$228.37216
2016-06-22,2016,06,22,NAS,	0.26824644,$203.52267
2016-07-01,2016,07,01,NAS,	0.25308058,$228.57361
2016-07-12,2016,07,12,NAS,	0.2421801,$205.15572
2016-07-23,2016,07,23,NAS,	0.23649289,$228.49783
2016-08-02,2016,08,02,NAS,	0.23222749,$204.59198
2016-08-13,2016,08,13,NAS,	0.22037914,$225.05836
2016-08-24,2016,08,24,NAS,	0.21658768,$203.14761
2016-09-03,2016,09,03,NAS,	0.214218,$222.95778
2016-09-14,2016,09,14,NAS,	0.44756278,$187.04501
2016-09-25,2016,09,25,NAS,	0.49729198,$201.7566
2016-03-20,2016,03,20,NAS,	0.22464456,$201.51405
2016-03-31,2016,03,31,NAS,	0.29099527,$203.84158
2016-04-10,2016,04,10,NAS,	0.2829384,$208.25116
2016-04-21,2016,04,21,NAS,	0.28483412,$206.02518
2016-05-11,2016,05,11,NAS,	0.30663508,$199.88039
2016-05-22,2016,05,22,NAS,	0.28151658,$208.22493
2016-06-01,2016,06,01,NAS,	0.28104267,$201.86882
2016-06-12,2016,06,12,NAS,	0.3886256,$223.90465
2016-06-23,2016,06,23,NAS,	0.2706161,$209.0221
2016-07-02,2016,07,02,NAS,	0.25308058,$229.17639
2016-07-13,2016,07,13,NAS,	0.2421801,$205.49532
2016-07-24,2016,07,24,NAS,	0.2379147,$210.07463
2016-08-03,2016,08,03,NAS,	0.23175356,$204.81369
2016-08-14,2016,08,14,NAS,	0.21943128,$206.88707
2016-08-25,2016,08,25,NAS,	0.21516588,$204.70108
2016-09-04,2016,09,04,NAS,	0.21042654,$205.82773
2016-09-15,2016,09,15,NAS,	0.5201871,$190.37096
2016-09-26,2016,09,26,NAS,	0.39537174,$189.46906
2016-03-10,2016,03,10,NAS,	0.24691944,$201.86533
2016-03-21,2016,03,21,NAS,	0.22701421,$195.72102
2016-04-11,2016,04,11,NAS,	0.28578198,$199.61713
2016-04-22,2016,04,22,NAS,	0.28625593,$225.81938
2016-05-01,2016,05,01,NAS,	0.28246444,$209.99736
2016-05-12,2016,05,12,NAS,	0.3165877,$206.64355
2016-05-23,2016,05,23,NAS,	0.2829384,$201.10773
2016-06-02,2016,06,02,NAS,	0.2791469,$210.34122
2016-06-13,2016,06,13,NAS,	0.30947867,$222.1709
2016-06-24,2016,06,24,NAS,	0.2729858,$228.64342
2016-07-03,2016,07,03,NAS,	0.24976303,$212.3525
2016-07-14,2016,07,14,NAS,	0.2407583,$208.90886
2016-07-25,2016,07,25,NAS,	0.24360189,$204.96805
2016-08-04,2016,08,04,NAS,	0.22985782,$206.00923
2016-08-15,2016,08,15,NAS,	0.21990521,$204.67923
2016-08-26,2016,08,26,NAS,	0.214218,$224.27382
2016-09-05,2016,09,05,NAS,	0.20900474,$204.47154
2016-09-16,2016,09,16,NAS,	0.627031,$211.84093
2016-09-27,2016,09,27,NAS,	0.37567702,$186.24527
2016-12-30,2016,12,30,NAS,	0.45041198,$252.6713
2016-03-11,2016,03,11,NAS,	0.25118482,$219.77974
2016-03-22,2016,03,22,NAS,	0.22606635,$194.79486
2016-04-01,2016,04,01,NAS,	0.29336494,$225.6613
2016-04-12,2016,04,12,NAS,	0.28672987,$198.37741
2016-04-23,2016,04,23,NAS,	0.28625593,$226.43294
2016-05-02,2016,05,02,NAS,	0.28625593,$200.47742
2016-05-13,2016,05,13,NAS,	0.31516588,$225.6083
2016-05-24,2016,05,24,NAS,	0.28199053,$199.29836
2016-06-03,2016,06,03,NAS,	0.28199053,$230.64621
2016-06-14,2016,06,14,NAS,	0.27725118,$210.00722
2016-06-25,2016,06,25,NAS,	0.2706161,$228.92462
2016-07-04,2016,07,04,NAS,	0.25023696,$209.24905
2016-07-15,2016,07,15,NAS,	0.24028435,$228.09045
2016-07-26,2016,07,26,NAS,	0.26255924,$201.06941
2016-08-05,2016,08,05,NAS,	0.22748815,$225.7595
2016-08-16,2016,08,16,NAS,	0.21943128,$203.46327
2016-08-27,2016,08,27,NAS,	0.21516588,$223.71317
2016-09-06,2016,09,06,NAS,	0.54579026,$186.76422
2016-09-17,2016,09,17,NAS,	0.62924665,$215.20917
2016-09-28,2016,09,28,NAS,	0.38453963,$185.1572
2016-11-30,2016,11,30,NAS,	0.25450107,$179.57266
2016-12-20,2016,12,20,NAS,	0.33018005,$188.80365
2016-12-31,2016,12,31,NAS,	0.45193774,$251.66092
2017-01-30,2017,01,30,NAS,	0.29935917,$191.33493
2017-02-20,2017,02,20,NAS,	0.29661277,$196.98741
2016-03-01,2016,03,01,NAS,	0.23601896,$194.68611
2016-03-12,2016,03,12,NAS,	0.24881516,$220.00127
2016-03-23,2016,03,23,NAS,	0.22417061,$195.37752
2016-04-02,2016,04,02,NAS,	0.292891,$226.11461
2016-04-13,2016,04,13,NAS,	0.28672987,$198.71628
2016-04-24,2016,04,24,NAS,	0.28246444,$207.8276
2016-05-03,2016,05,03,NAS,	0.28530806,$199.46153
2016-05-14,2016,05,14,NAS,	0.29905212,$226.86275
2016-05-25,2016,05,25,NAS,	0.28199053,$199.49242
2016-06-04,2016,06,04,NAS,	0.28104267,$232.26697
2016-06-15,2016,06,15,NAS,	0.2734597,$208.73254
2016-06-26,2016,06,26,NAS,	0.26398104,$210.77979
2016-07-05,2016,07,05,NAS,	0.24597156,$204.88373
2016-07-16,2016,07,16,NAS,	0.24028435,$228.65689
2016-07-27,2016,07,27,NAS,	0.30995262,$197.38393
2016-08-06,2016,08,06,NAS,	0.22654028,$226.45589
2016-08-17,2016,08,17,NAS,	0.21895735,$203.68446
2016-08-28,2016,08,28,NAS,	0.21658768,$205.52692
2016-09-07,2016,09,07,NAS,	0.4613491,$186.29662
2016-09-18,2016,09,18,NAS,	0.48325947,$203.47452
2016-09-29,2016,09,29,NAS,	0.4763663,$186.41467
2016-10-30,2016,10,30,NAS,	0.3527617,$200.24564
2016-11-20,2016,11,20,NAS,	0.283491,$193.26277
2016-12-10,2016,12,10,NAS,	0.34452242,$227.48604
2016-12-21,2016,12,21,NAS,	0.33079037,$190.70543
2017-01-20,2017,01,20,NAS,	0.30302104,$225.72986
2017-01-31,2017,01,31,NAS,	0.3005798,$190.95157
2017-02-10,2017,02,10,NAS,	0.29813853,$226.85088
2017-02-21,2017,02,21,NAS,	0.29661277,$192.83601
2016-03-02,2016,03,02,NAS,	0.23744076,$194.9192
2016-03-13,2016,03,13,NAS,	0.22985782,$204.54523
2016-03-24,2016,03,24,NAS,	0.22085308,$202.28224
2016-04-03,2016,04,03,NAS,	0.2834123,$207.19643
2016-04-14,2016,04,14,NAS,	0.2834123,$207.43254
2016-04-25,2016,04,25,NAS,	0.28530806,$199.94165
2016-05-04,2016,05,04,NAS,	0.2872038,$199.28723
2016-05-15,2016,05,15,NAS,	0.28151658,$210.77704
2016-05-26,2016,05,26,NAS,	0.28151658,$206.94789
2016-06-05,2016,06,05,NAS,	0.27962086,$218.66447
2016-06-16,2016,06,16,NAS,	0.27203792,$211.80403
2016-06-27,2016,06,27,NAS,	0.26113743,$204.8095
