2016-10-07,2016,10,07,NYC,	0.7334578,$152.7185
2016-10-18,2016,10,18,NYC,	0.6542518,$145.60455
2016-10-29,2016,10,29,NYC,	0.6445886,$149.5699
2016-11-08,2016,11,08,NYC,	0.629155,$144.76869
2016-11-19,2016,11,19,NYC,	0.57896787,$149.55768
2016-12-09,2016,12,09,NYC,	0.64875984,$144.05832
2017-01-08,2017,01,08,NYC,	0.47806785,$139.93442
2017-01-19,2017,01,19,NYC,	0.46880364,$137.98537
2017-02-09,2017,02,09,NYC,	0.46415573,$137.47299
2016-10-08,2016,10,08,NYC,	0.736193,$153.72751
2016-10-19,2016,10,19,NYC,	0.659149,$144.74066
2016-11-09,2016,11,09,NYC,	0.62266916,$144.56372
2017-01-09,2017,01,09,NYC,	0.47799385,$138.78111
2016-10-09,2016,10,09,NYC,	0.7067119,$150.58334
2016-09-30,2016,09,30,NYC,	0.5390969,$151.1512
2016-08-30,2016,08,30,NYC,	0.53083724,$150.26828
2016-09-20,2016,09,20,NYC,	0.55017877,$147.25029
2016-07-30,2016,07,30,NYC,	0.58795863,$153.90607
2016-08-20,2016,08,20,NYC,	0.5374036,$154.79623
2016-08-31,2016,08,31,NYC,	0.53634995,$150.12494
2016-09-10,2016,09,10,NYC,	0.56178737,$153.10498
2016-09-21,2016,09,21,NYC,	0.5492568,$146.78845
2016-06-30,2016,06,30,NYC,	0.58391255,$152.40845
2016-07-20,2016,07,20,NYC,	0.6213735,$146.49141
2016-07-31,2016,07,31,NYC,	0.5810536,$149.1905
2016-08-10,2016,08,10,NYC,	0.5708561,$149.45364
2016-08-21,2016,08,21,NYC,	0.53053623,$151.07358
2016-09-11,2016,09,11,NYC,	0.55712134,$148.94638
2016-09-22,2016,09,22,NYC,	0.54735655,$146.34982
2016-05-30,2016,05,30,NYC,	0.5971799,$151.62648
2016-06-20,2016,06,20,NYC,	0.6383624,$150.20834
2016-07-10,2016,07,10,NYC,	0.6237629,$149.11197
2016-07-21,2016,07,21,NYC,	0.62316084,$146.87329
2016-08-11,2016,08,11,NYC,	0.56624645,$149.64787
2016-08-22,2016,08,22,NYC,	0.5351082,$150.52896
2016-09-01,2016,09,01,NYC,	0.5489181,$151.36884
2016-09-12,2016,09,12,NYC,	0.55892754,$148.44806
2016-09-23,2016,09,23,NYC,	0.5429539,$150.54578
2016-04-30,2016,04,30,NYC,	0.60520357,$147.36418
2016-05-20,2016,05,20,NYC,	0.7008622,$147.37607
2016-05-31,2016,05,31,NYC,	0.595322,$149.81665
2016-06-10,2016,06,10,NYC,	0.6860679,$155.3804
2016-06-21,2016,06,21,NYC,	0.639373,$149.25307
2016-07-11,2016,07,11,NYC,	0.63029164,$147.99364
2016-07-22,2016,07,22,NYC,	0.6163876,$152.54706
2016-08-01,2016,08,01,NYC,	0.5894073,$148.70801
2016-08-12,2016,08,12,NYC,	0.5582314,$154.76158
2016-08-23,2016,08,23,NYC,	0.5380245,$150.4837
2016-09-02,2016,09,02,NYC,	0.5513452,$156.15486
2016-09-13,2016,09,13,NYC,	0.55890876,$148.21101
2016-09-24,2016,09,24,NYC,	0.5378175,$150.43663
2016-03-30,2016,03,30,NYC,	0.50666076,$141.06934
2016-04-20,2016,04,20,NYC,	0.6059081,$142.47989
2016-05-10,2016,05,10,NYC,	0.674233,$148.58873
2016-05-21,2016,05,21,NYC,	0.6896437,$150.77782
2016-06-11,2016,06,11,NYC,	0.6835516,$155.71486
2016-06-22,2016,06,22,NYC,	0.63931113,$148.54208
2016-07-01,2016,07,01,NYC,	0.5657007,$160.11203
2016-07-12,2016,07,12,NYC,	0.6337347,$147.25238
2016-07-23,2016,07,23,NYC,	0.6131138,$152.7301
2016-08-02,2016,08,02,NYC,	0.59495765,$148.55737
2016-08-13,2016,08,13,NYC,	0.55324554,$155.15948
2016-08-24,2016,08,24,NYC,	0.5372531,$150.45241
2016-09-03,2016,09,03,NYC,	0.55493885,$155.84143
2016-09-14,2016,09,14,NYC,	0.55981183,$147.6943
2016-09-25,2016,09,25,NYC,	0.5307056,$146.96404
2016-03-20,2016,03,20,NYC,	0.50574297,$141.41364
2016-03-31,2016,03,31,NYC,	0.5050755,$141.20656
2016-04-10,2016,04,10,NYC,	0.625585,$145.1129
2016-04-21,2016,04,21,NYC,	0.60980827,$142.81615
2016-05-11,2016,05,11,NYC,	0.6838558,$147.83342
2016-05-22,2016,05,22,NYC,	0.6564167,$149.09317
2016-06-01,2016,06,01,NYC,	0.6086678,$149.58826
2016-06-12,2016,06,12,NYC,	0.6649479,$151.52594
2016-06-23,2016,06,23,NYC,	0.6427555,$148.74493
2016-07-02,2016,07,02,NYC,	0.62985694,$160.90657
2016-07-13,2016,07,13,NYC,	0.6350141,$146.92004
2016-07-24,2016,07,24,NYC,	0.6029351,$148.75378
2016-08-03,2016,08,03,NYC,	0.59533393,$148.42487
2016-08-14,2016,08,14,NYC,	0.54547507,$151.1325
2016-08-25,2016,08,25,NYC,	0.5368015,$150.58553
2016-09-04,2016,09,04,NYC,	0.5482596,$151.57576
2016-09-15,2016,09,15,NYC,	0.5596049,$146.98697
2016-09-26,2016,09,26,NYC,	0.5292192,$146.62941
2016-03-10,2016,03,10,NYC,	0.48299357,$141.53362
2016-03-21,2016,03,21,NYC,	0.5133632,$140.73506
2016-04-11,2016,04,11,NYC,	0.6215087,$143.15683
2016-04-22,2016,04,22,NYC,	0.6105128,$148.85464
2016-05-01,2016,05,01,NYC,	0.61573315,$145.35954
2016-05-12,2016,05,12,NYC,	0.69693214,$146.93814
2016-05-23,2016,05,23,NYC,	0.6415301,$148.84439
2016-06-02,2016,06,02,NYC,	0.75705886,$153.3362
2016-06-13,2016,06,13,NYC,	0.66606164,$150.0003
2016-06-24,2016,06,24,NYC,	0.6405074,$154.3743
2016-07-03,2016,07,03,NYC,	0.68871117,$154.63136
2016-07-14,2016,07,14,NYC,	0.63674504,$147.11525
2016-07-25,2016,07,25,NYC,	0.6047977,$147.70164
2016-08-04,2016,08,04,NYC,	0.592286,$148.872
2016-08-15,2016,08,15,NYC,	0.547714,$150.09839
2016-08-26,2016,08,26,NYC,	0.5323048,$155.55905
2016-09-05,2016,09,05,NYC,	0.547921,$151.071
2016-09-16,2016,09,16,NYC,	0.55586076,$151.175
2016-09-27,2016,09,27,NYC,	0.5268109,$146.61821
2016-12-30,2016,12,30,NYC,	0.66685903,$165.78006
2016-03-11,2016,03,11,NYC,	0.4817699,$147.17854
2016-03-22,2016,03,22,NYC,	0.51856387,$140.25713
2016-04-01,2016,04,01,NYC,	0.50112635,$147.84825
2016-04-12,2016,04,12,NYC,	0.6183886,$141.99341
2016-04-23,2016,04,23,NYC,	0.6109406,$149.2468
2016-05-02,2016,05,02,NYC,	0.72794396,$146.04657
2016-05-13,2016,05,13,NYC,	0.7134623,$152.16566
2016-05-24,2016,05,24,NYC,	0.6352658,$148.29903
2016-06-03,2016,06,03,NYC,	0.74705577,$160.14668
2016-06-14,2016,06,14,NYC,	0.6658554,$149.44102
2016-06-25,2016,06,25,NYC,	0.63584614,$154.41997
2016-07-04,2016,07,04,NYC,	0.64888054,$152.94041
2016-07-15,2016,07,15,NYC,	0.63095015,$152.8444
2016-07-26,2016,07,26,NYC,	0.60507995,$147.65903
2016-08-05,2016,08,05,NYC,	0.5825588,$154.15991
2016-08-16,2016,08,16,NYC,	0.54901224,$150.23058
2016-08-27,2016,08,27,NYC,	0.53238004,$155.94435
2016-09-06,2016,09,06,NYC,	0.55531514,$149.34322
2016-09-17,2016,09,17,NYC,	0.555635,$151.37671
2016-09-28,2016,09,28,NYC,	0.5247789,$146.42805
2016-11-30,2016,11,30,NYC,	0.56018084,$143.98698
2016-12-20,2016,12,20,NYC,	0.54330194,$144.27197
2016-12-31,2016,12,31,NYC,	0.66827977,$168.45001
2017-01-30,2017,01,30,NYC,	0.46288404,$137.97664
2017-02-20,2017,02,20,NYC,	0.45281956,$137.95792
2016-03-01,2016,03,01,NYC,	0.48491254,$136.54478
2016-03-12,2016,03,12,NYC,	0.48574686,$147.19637
2016-03-23,2016,03,23,NYC,	0.52395916,$140.05095
2016-04-02,2016,04,02,NYC,	0.5096018,$147.86201
2016-04-13,2016,04,13,NYC,	0.6222133,$141.85834
2016-04-24,2016,04,24,NYC,	0.592245,$144.58618
2016-05-03,2016,05,03,NYC,	0.71467704,$145.99382
2016-05-14,2016,05,14,NYC,	0.72715795,$150.77145
2016-05-25,2016,05,25,NYC,	0.6343369,$148.67476
2016-06-04,2016,06,04,NYC,	0.73647517,$161.35141
2016-06-15,2016,06,15,NYC,	0.6638754,$149.36179
2016-06-26,2016,06,26,NYC,	0.6188718,$150.27025
2016-07-05,2016,07,05,NYC,	0.63555974,$150.43536
2016-07-16,2016,07,16,NYC,	0.6286171,$153.58469
2016-07-27,2016,07,27,NYC,	0.60176855,$147.88992
2016-08-06,2016,08,06,NYC,	0.5780433,$154.16869
