2016-09-30,2016,09,30,SFO,	0.5781381,$209.0261
2016-08-30,2016,08,30,SFO,	0.54511845,$202.30698
2016-09-20,2016,09,20,SFO,	0.5494875,$203.00896
2016-07-30,2016,07,30,SFO,	0.6693833,$208.93546
2016-08-20,2016,08,20,SFO,	0.5847757,$207.90308
2016-08-31,2016,08,31,SFO,	0.5437741,$200.98012
2016-09-10,2016,09,10,SFO,	0.54369015,$207.23955
2016-09-21,2016,09,21,SFO,	0.54772305,$202.7622
2016-06-30,2016,06,30,SFO,	0.60223484,$205.6348
2016-07-20,2016,07,20,SFO,	0.6693833,$201.69885
2016-07-31,2016,07,31,SFO,	0.6448496,$202.1902
2016-08-10,2016,08,10,SFO,	0.61477065,$203.94417
2016-08-21,2016,08,21,SFO,	0.5736851,$203.6088
2016-09-11,2016,09,11,SFO,	0.54209375,$202.11523
2016-09-22,2016,09,22,SFO,	0.5444463,$201.20786
2016-05-30,2016,05,30,SFO,	0.42239293,$198.62167
2016-06-20,2016,06,20,SFO,	0.6436875,$205.36748
2016-07-10,2016,07,10,SFO,	0.68030584,$202.38107
2016-07-21,2016,07,21,SFO,	0.6612334,$202.56647
2016-08-11,2016,08,11,SFO,	0.61661905,$204.66623
2016-08-22,2016,08,22,SFO,	0.5711645,$203.15184
2016-09-01,2016,09,01,SFO,	0.54688287,$202.34192
2016-09-12,2016,09,12,SFO,	0.5427659,$201.37376
2016-09-23,2016,09,23,SFO,	0.5404974,$205.9062
2016-04-30,2016,04,30,SFO,	0.43775785,$203.66902
2016-05-20,2016,05,20,SFO,	0.42808366,$203.98483
2016-05-31,2016,05,31,SFO,	0.4222507,$198.50233
2016-06-10,2016,06,10,SFO,	0.6937911,$208.8193
2016-06-21,2016,06,21,SFO,	0.65305936,$206.09377
2016-07-11,2016,07,11,SFO,	0.6962695,$202.00525
2016-07-22,2016,07,22,SFO,	0.6588809,$209.84753
2016-08-01,2016,08,01,SFO,	0.6361956,$203.28914
2016-08-12,2016,08,12,SFO,	0.6213241,$209.39783
2016-08-23,2016,08,23,SFO,	0.56965214,$202.84518
2016-09-02,2016,09,02,SFO,	0.54831123,$208.78311
2016-09-13,2016,09,13,SFO,	0.5427659,$200.62808
2016-09-24,2016,09,24,SFO,	0.5310032,$204.9511
2016-03-30,2016,03,30,SFO,	0.4226775,$197.2659
2016-04-20,2016,04,20,SFO,	0.40304452,$198.91826
2016-05-10,2016,05,10,SFO,	0.42936406,$197.80205
2016-05-21,2016,05,21,SFO,	0.4273723,$203.8087
2016-06-11,2016,06,11,SFO,	0.6954132,$209.09557
2016-06-22,2016,06,22,SFO,	0.65990806,$208.22417
2016-07-01,2016,07,01,SFO,	0.5951158,$216.47696
2016-07-12,2016,07,12,SFO,	0.70702404,$201.97333
2016-07-23,2016,07,23,SFO,	0.6590489,$209.33908
2016-08-02,2016,08,02,SFO,	0.637792,$203.52122
2016-08-13,2016,08,13,SFO,	0.6167031,$209.21065
2016-08-24,2016,08,24,SFO,	0.56914806,$202.00722
2016-09-03,2016,09,03,SFO,	0.55032766,$209.37817
2016-09-14,2016,09,14,SFO,	0.5448664,$200.17409
2016-09-25,2016,09,25,SFO,	0.52083683,$200.09627
2016-03-20,2016,03,20,SFO,	0.4296486,$195.65752
2016-03-31,2016,03,31,SFO,	0.4226775,$197.68654
2016-04-10,2016,04,10,SFO,	0.40660122,$197.68304
2016-04-21,2016,04,21,SFO,	0.40176412,$198.64542
2016-05-11,2016,05,11,SFO,	0.43035993,$198.61314
2016-05-22,2016,05,22,SFO,	0.4269455,$199.285
2016-06-01,2016,06,01,SFO,	0.5173659,$198.78746
2016-06-12,2016,06,12,SFO,	0.6958637,$205.60178
2016-06-23,2016,06,23,SFO,	0.66594577,$207.95792
2016-07-02,2016,07,02,SFO,	0.7345824,$209.89363
2016-07-13,2016,07,13,SFO,	0.70702404,$202.08746
2016-07-24,2016,07,24,SFO,	0.6529995,$204.17725
2016-08-03,2016,08,03,SFO,	0.6405646,$203.65334
2016-08-14,2016,08,14,SFO,	0.60233575,$205.20747
2016-08-25,2016,08,25,SFO,	0.5715846,$203.51343
2016-09-04,2016,09,04,SFO,	0.543018,$203.96745
2016-09-15,2016,09,15,SFO,	0.5520921,$200.16226
